Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Piauí;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Manoel Emídio;14,9;13,5;19,1;21,2;10,0;16,7;23,2;30,8;40,5;28,4;39,1;47,8;55,9;46,3;54,8;60,3;64,0;76,7;84,3;91,4
Marcolândia;19,8;13,9;11,7;14,8;17,4;35,1;48,5;42,1;41,1;43,3;53,3;57,9;60,6;65,3;70,4;77,0;76,2;77,2;84,4;85,6
Marcos Parente;12,8;27,3;34,4;21,1;11,0;7,2;19,5;46,0;44,3;53,7;56,3;58,5;64,3;57,1;62,7;71,4;77,4;80,0;66,7;83,5
Massapê do Piauí;**;19,3;10,1;11,8;15,2;15,1;26,8;27,1;41,9;32,2;46,3;39,7;45,3;43,3;56,8;76,9;81,7;69,4;83,6;84,1
Matias Olímpio;25,8;36,9;37,3;19,0;16,6;22,3;25,1;32,9;19,2;17,7;19,8;25,0;28,0;42,6;55,9;64,7;67,1;61,8;62,0;67,4
Miguel Alves;5,6;8,2;15,9;18,4;28,7;37,8;38,2;37,9;40,1;30,4;26,6;29,5;36,8;32,8;40,2;44,9;40,3;45,5;48,3;51,2
Miguel Leão;**;**;**;**;37,5;37,5;75,0;42,9;50,0;**;38,9;**;55,6;47,6;93,8;52,0;**;71,4;80,0;71,4
Milton Brandão;10,5;5,2;4,6;12,9;7,1;11,2;11,2;12,9;27,4;17,2;34,5;44,9;58,3;59,8;61,4;75,6;65,5;46,7;60,4;70,6
Monsenhor Gil;16,5;32,9;33,6;39,8;35,2;52,5;67,7;62,9;65,4;41,7;40,3;44,4;62,0;52,4;43,8;50,8;61,9;50,0;59,4;63,9
Monsenhor Hipólito;28,7;27,0;29,2;22,5;30,1;26,1;30,1;50,4;58,3;56,2;29,8;35,9;42,0;47,6;52,9;65,7;64,6;63,9;61,2;79,5
