Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Pará;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Óbidos;5,7;5,5;4,2;9,8;15,6;11,8;22,0;28,9;25,8;27,2;28,1;39,2;42,0;37,4;34,8;39,2;41,4;46,7;45,8;43,2
Oeiras do Pará;14,3;9,9;7,0;8,0;10,0;22,8;29,3;21,6;18,8;20,0;35,5;38,6;37,0;38,7;41,6;36,9;36,2;35,2;41,3;42,1
Oriximiná;12,3;13,0;20,9;33,9;32,6;34,3;37,8;37,1;40,6;37,6;39,9;44,8;39,0;42,8;45,3;51,5;50,6;54,6;50,4;59,6
Ourém;11,4;9,7;13,9;16,1;6,7;21,6;22,1;4,3;11,1;33,1;30,6;40,8;35,1;38,9;42,5;52,5;65,5;66,3;73,9;70,0
Ourilândia do Norte;44,3;29,6;26,2;21,7;25,1;24,3;32,7;28,1;28,5;41,5;50,0;43,1;43,3;43,9;59,6;59,2;66,5;65,3;69,2;66,5
Pacajá;6,1;4,8;8,1;16,1;12,3;11,2;8,1;10,6;13,7;13,1;15,4;14,3;25,4;39,7;37,3;42,6;46,9;53,8;56,2;54,3
Palestina do Pará;8,7;5,9;5,5;11,1;9,4;14,9;10,1;10,2;21,1;17,2;14,0;23,0;28,4;36,9;36,0;37,7;44,9;52,6;50,9;66,7
Paragominas;28,2;19,0;9,2;8,4;6,3;7,1;13,7;17,9;15,5;16,0;17,0;20,7;42,2;44,0;38,5;40,9;40,7;45,8;44,5;44,3
Parauapebas;19,7;24,9;22,3;30,2;23,1;28,1;40,4;46,6;55,7;59,4;60,1;58,6;56,5;50,1;59,1;60,3;65,6;63,0;67,5;71,8
Pau D'Arco;11,0;15,1;31,4;67,8;66,4;45,3;23,0;13,9;17,1;43,0;56,0;60,8;48,0;35,4;30,7;35,2;56,2;45,7;55,1;58,3
Peixe-Boi;20,5;7,8;12,9;14,6;10,2;5,6;6,2;5,9;5,3;21,7;18,3;29,5;19,3;33,0;47,1;45,9;32,0;43,0;72,8;60,0
Piçarra;15,3;11,9;12,8;16,3;14,1;17,3;24,4;22,3;25,5;28,1;24,1;26,0;23,0;31,0;35,1;38,5;46,8;37,9;44,3;41,8
Placas;**;2,4;3,2;3,8;6,8;23,1;34,3;32,1;27,9;28,5;38,8;46,9;56,5;53,7;60,5;63,4;62,8;62,5;56,4;65,6
Ponta de Pedras;18,2;14,4;12,0;12,2;15,1;19,7;22,6;19,7;19,7;23,8;43,7;33,6;32,2;33,6;31,3;37,7;31,0;34,5;36,8;44,8
Portel;14,5;15,1;10,8;6,4;4,3;5,2;5,0;6,8;8,7;10,7;9,4;8,9;37,7;67,6;79,6;30,6;23,3;23,6;24,6;23,0
Porto de Moz;2,7;5,3;8,4;8,5;5,4;4,9;4,7;8,7;12,1;10,5;8,9;14,3;19,7;27,7;21,3;25,7;26,4;28,7;29,7;29,8
Prainha;3,8;7,4;14,5;15,4;17,5;11,1;12,0;18,4;19,3;19,2;25,4;42,0;47,8;43,7;48,7;43,4;47,0;52,5;54,2;53,6
Primavera;12,0;8,2;12,5;6,0;10,1;7,9;14,2;25,9;40,9;48,7;46,8;28,9;26,7;29,0;26,9;45,9;52,3;39,2;54,0;58,6
Quatipuru;41,9;9,2;16,2;14,0;5,2;9,6;11,6;4,4;9,7;22,3;22,4;19,6;14,6;21,7;29,5;34,8;21,4;26,6;46,3;35,2
Redenção;12,1;15,6;27,1;35,6;29,8;15,8;17,4;11,2;15,0;22,0;26,6;20,3;24,9;26,1;21,3;24,1;35,4;34,9;35,6;43,8
